legacy_row,card_id,date,sport_family,sport_raw,match,competition,market_group,rank,option,line,stated_probability,status,binary_outcome,brier_component,exact_complement_selection,probability_bucket,bucket_mismatch,settlement_source,settlement_has_url,potential_post_event_input,eligible_for_v3_evaluation,exclusion_reason,audit_note
121,SOC-20260616-IRN-NZL,2026-06-16,Soccer,Soccer,Iran vs New Zealand,FIFA World Cup Group G,NZ TT Under 2.5 total Under 4.5 Iran/DC NZ win,2,Total Under 4.5,Under 4.5,0.78,W,1,0.04839999999999999,false,70-79,false,ESPN/Guardian/Al Jazeera/FOX 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
122,SOC-20260616-IRN-NZL,2026-06-16,Soccer,Soccer,Iran vs New Zealand,FIFA World Cup Group G,NZ TT Under 2.5 total Under 4.5 Iran/DC NZ win,3,Iran or Draw,Double chance,0.72,W,1,0.07840000000000001,false,70-79,false,ESPN/Guardian/Al Jazeera/FOX 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
123,SOC-20260616-IRN-NZL,2026-06-16,Soccer,Soccer,Iran vs New Zealand,FIFA World Cup Group G,NZ TT Under 2.5 total Under 4.5 Iran/DC NZ win,4,New Zealand to Win,NZ win,0.18,L,0,0.0324,false,10-19,false,ESPN/Guardian/Al Jazeera/FOX 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
124,KBO-20260616-LOT-SSG,2026-06-16,Baseball,Baseball,Lotte Giants at SSG Landers,KBO regular season,Landers +1.5 Giants +0.5 total 9.5,1,Landers +1.5,Landers +1.5,0.58,L,0,0.3364,false,50-59,false,MyKBO final 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
125,KBO-20260616-LOT-SSG,2026-06-16,Baseball,Baseball,Lotte Giants at SSG Landers,KBO regular season,Landers +1.5 Giants +0.5 total 9.5,2,Giants +0.5,Giants +0.5,0.55,W,1,0.20249999999999996,false,50-59,false,MyKBO final 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
126,KBO-20260616-LOT-SSG,2026-06-16,Baseball,Baseball,Lotte Giants at SSG Landers,KBO regular season,Landers +1.5 Giants +0.5 total 9.5,3,Total Over 9.5,Over 9.5,0.53,W,1,0.22089999999999999,true,50-59,false,MyKBO final 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
127,KBO-20260616-LOT-SSG,2026-06-16,Baseball,Baseball,Lotte Giants at SSG Landers,KBO regular season,Landers +1.5 Giants +0.5 total 9.5,4,Total Under 9.5,Under 9.5,0.47,L,0,0.22089999999999999,true,40-49,false,MyKBO final 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
128,CRIC-20260616-NZW-SLW,2026-06-16,Cricket,Cricket,New Zealand Women vs Sri Lanka Women,ICC Women's T20 World Cup Group B,NZ innings 165.5 and first-6 45.5,1,NZ first-6 Over 45.5,Over 45.5,0.62,L,0,0.3844,true,60-69,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
129,CRIC-20260616-NZW-SLW,2026-06-16,Cricket,Cricket,New Zealand Women vs Sri Lanka Women,ICC Women's T20 World Cup Group B,NZ innings 165.5 and first-6 45.5,2,NZ innings Over 165.5,Over 165.5,0.56,L,0,0.31360000000000005,true,50-59,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
130,CRIC-20260616-NZW-SLW,2026-06-16,Cricket,Cricket,New Zealand Women vs Sri Lanka Women,ICC Women's T20 World Cup Group B,NZ innings 165.5 and first-6 45.5,3,NZ innings Under 165.5,Under 165.5,0.44,W,1,0.31360000000000005,true,40-49,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
131,CRIC-20260616-NZW-SLW,2026-06-16,Cricket,Cricket,New Zealand Women vs Sri Lanka Women,ICC Women's T20 World Cup Group B,NZ innings 165.5 and first-6 45.5,4,NZ first-6 Under 45.5,Under 45.5,0.38,W,1,0.3844,true,30-39,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
132,SOC-20260617-FRA-SEN,2026-06-17,Soccer,Soccer,France vs Senegal,FIFA World Cup Group I,"Self-selected best four: full total 4.5, team totals, double chance",1,Combined Total Under 4.5 Goals,Under 4.5,0.84,W,1,0.02560000000000001,false,80-89,false,Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
133,SOC-20260617-FRA-SEN,2026-06-17,Soccer,Soccer,France vs Senegal,FIFA World Cup Group I,"Self-selected best four: full total 4.5, team totals, double chance",2,Senegal Team Total Under 2.5 Goals,Under 2.5,0.82,W,1,0.03240000000000002,false,80-89,false,Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
134,SOC-20260617-FRA-SEN,2026-06-17,Soccer,Soccer,France vs Senegal,FIFA World Cup Group I,"Self-selected best four: full total 4.5, team totals, double chance",3,France Team Total Over 0.5 Goals,Over 0.5,0.78,W,1,0.04839999999999999,false,70-79,false,Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
135,SOC-20260617-FRA-SEN,2026-06-17,Soccer,Soccer,France vs Senegal,FIFA World Cup Group I,"Self-selected best four: full total 4.5, team totals, double chance",4,France or Draw / Double Chance,France/DC,0.74,W,1,0.06760000000000001,false,70-79,false,Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
136,SOC-20260617-AUT-JOR,2026-06-17,Soccer,Soccer,Austria vs Jordan,FIFA World Cup Group J,"Self-selected best four: team totals, double chance, full total 4.5",1,Jordan Team Total Under 2.5 Goals,Jordan Under 2.5,0.84,W,1,0.02560000000000001,false,80-89,false,ABC/Fox/Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
137,SOC-20260617-AUT-JOR,2026-06-17,Soccer,Soccer,Austria vs Jordan,FIFA World Cup Group J,"Self-selected best four: team totals, double chance, full total 4.5",2,Austria or Draw / Double Chance,Austria/DC,0.82,W,1,0.03240000000000002,false,80-89,false,ABC/Fox/Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
138,SOC-20260617-AUT-JOR,2026-06-17,Soccer,Soccer,Austria vs Jordan,FIFA World Cup Group J,"Self-selected best four: team totals, double chance, full total 4.5",3,Austria Team Total Over 0.5 Goals,Austria Over 0.5,0.8,W,1,0.03999999999999998,false,80-89,false,ABC/Fox/Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
139,SOC-20260617-AUT-JOR,2026-06-17,Soccer,Soccer,Austria vs Jordan,FIFA World Cup Group J,"Self-selected best four: team totals, double chance, full total 4.5",4,Combined Total Under 4.5 Goals,Under 4.5,0.76,W,1,0.0576,false,70-79,false,ABC/Fox/Guardian final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
140,CRIC-20260617-BAN-AUS,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Bangladesh 1st innings 166.5 and first-6 50.5,1,Bangladesh 1st Innings 20 overs Under 166.5 Runs,Under 166.5,0.57,W,1,0.18490000000000004,true,50-59,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
141,CRIC-20260617-BAN-AUS,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Bangladesh 1st innings 166.5 and first-6 50.5,2,Bangladesh first 6 overs Under 50.5 Runs,Under 50.5,0.54,L,0,0.2916,true,50-59,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,rank_error; exact_complement_selection
142,CRIC-20260617-BAN-AUS,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Bangladesh 1st innings 166.5 and first-6 50.5,3,Bangladesh first 6 overs Over 50.5 Runs,Over 50.5,0.46,W,1,0.2916,true,40-49,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
143,CRIC-20260617-BAN-AUS,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Bangladesh 1st innings 166.5 and first-6 50.5,4,Bangladesh 1st Innings 20 overs Over 166.5 Runs,Over 166.5,0.43,L,0,0.18489999999999998,true,40-49,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
144,CRIC-20260617-BAN-AUS-PARLAY,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Self-selected best four-leg parlay,1,Australia to take Over 4.5 Bangladesh wickets / Bangladesh lose 5+ wickets,Over 4.5 wickets,0.72,W,1,0.07840000000000001,false,70-79,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
145,CRIC-20260617-BAN-AUS-PARLAY,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Self-selected best four-leg parlay,2,Bangladesh 1st innings Under 174.5 runs,Under 174.5,0.67,W,1,0.10889999999999997,false,60-69,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
146,CRIC-20260617-BAN-AUS-PARLAY,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Self-selected best four-leg parlay,3,Bangladesh first 6 overs Under 56.5 runs,Under 56.5,0.63,W,1,0.1369,false,60-69,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
147,CRIC-20260617-BAN-AUS-PARLAY,2026-06-17,Cricket,Cricket,Bangladesh vs Australia,Australia tour of Bangladesh 1st T20I,Self-selected best four-leg parlay,4,Australia to win match,Australia win,0.58,W,1,0.17640000000000003,false,50-59,false,Cricbuzz scorecard 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
148,KBO-20260617-LG-KIA,2026-06-17,Baseball,KBO Baseball,LG Twins @ KIA Tigers,KBO League regular season,"LG +1.5, KIA +0.5, full total 10.5",1,Twins +1.5,LG +1.5,0.64,W,1,0.1296,false,60-69,false,MyKBO final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
149,KBO-20260617-LG-KIA,2026-06-17,Baseball,KBO Baseball,LG Twins @ KIA Tigers,KBO League regular season,"LG +1.5, KIA +0.5, full total 10.5",2,Combined Final Total Under 10.5 runs,Under 10.5,0.57,W,1,0.18490000000000004,true,50-59,false,MyKBO final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
150,KBO-20260617-LG-KIA,2026-06-17,Baseball,KBO Baseball,LG Twins @ KIA Tigers,KBO League regular season,"LG +1.5, KIA +0.5, full total 10.5",3,Tigers +0.5,KIA +0.5,0.52,W,1,0.2304,false,50-59,false,MyKBO final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
151,KBO-20260617-LG-KIA,2026-06-17,Baseball,KBO Baseball,LG Twins @ KIA Tigers,KBO League regular season,"LG +1.5, KIA +0.5, full total 10.5",4,Combined Final Total Over 10.5 runs,Over 10.5,0.43,L,0,0.18489999999999998,true,40-49,false,MyKBO final 2026-06-17,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
152,CRIC-20260617-INDW-NEDW,2026-06-17,Cricket,Cricket,India Women vs Netherlands Women,ICC Women's T20 World Cup Group A,Self-selected best four-leg parlay,1,India Women to win,India win,0.86,W,1,0.019600000000000003,false,80-89,false,Cricbuzz scorecard/commentary 2026-06-18; ESPNcricinfo/AP cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
153,CRIC-20260617-INDW-NEDW,2026-06-17,Cricket,Cricket,India Women vs Netherlands Women,ICC Women's T20 World Cup Group A,Self-selected best four-leg parlay,2,India Women to take Over 4.5 wickets / Netherlands lose 5+ wickets,Over 4.5 wickets,0.8,W,1,0.03999999999999998,false,80-89,false,Cricbuzz scorecard/commentary 2026-06-18; ESPNcricinfo/AP cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
154,CRIC-20260617-INDW-NEDW,2026-06-17,Cricket,Cricket,India Women vs Netherlands Women,ICC Women's T20 World Cup Group A,Self-selected best four-leg parlay,3,Netherlands Women team total Under 149.5 runs,Under 149.5,0.76,W,1,0.0576,false,70-79,false,Cricbuzz scorecard/commentary 2026-06-18; ESPNcricinfo/AP cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
155,CRIC-20260617-INDW-NEDW,2026-06-17,Cricket,Cricket,India Women vs Netherlands Women,ICC Women's T20 World Cup Group A,Self-selected best four-leg parlay,4,India Women 1st innings Under 184.5 runs,Under 184.5,0.69,L,0,0.4760999999999999,false,60-69,false,Cricbuzz scorecard/commentary 2026-06-18; ESPNcricinfo/AP cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; source_error
156,CRIC-20260617-INDW-NEDW-PP55,2026-06-17,Cricket,Cricket,India Women vs Netherlands Women,ICC Women's T20 World Cup Group A,India first 6 overs 55.0 follow-up,1,India first 6 overs Under 55.0 lean,Under 55.0,0.55,L,0,0.30250000000000005,false,50-59,false,Cricbuzz scorecard 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
157,MLB-20260618-NYM-CIN,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Mets +0.5, Reds +1.5, full total 9.0",1,Reds +1.5,Reds +1.5,0.64,L,0,0.4096,false,60-69,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
158,MLB-20260618-NYM-CIN,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Mets +0.5, Reds +1.5, full total 9.0",2,Mets +0.5,Mets +0.5,0.53,W,1,0.22089999999999999,false,50-59,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
159,MLB-20260618-NYM-CIN,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Mets +0.5, Reds +1.5, full total 9.0",3,Combined Final Total Over 9.0 runs,Over 9.0,0.48,W,1,0.27040000000000003,true,40-49,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
160,MLB-20260618-NYM-CIN,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Mets +0.5, Reds +1.5, full total 9.0",4,Combined Final Total Under 9.0 runs,Under 9.0,0.4,L,0,0.16000000000000003,true,40-49,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
161,MLB-20260618-NYM-CIN-PARLAY,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Reds +2.5, total over 6.5, total under 12.5, Mets TT over 2.5",1,Reds +2.5 runs,Reds +2.5,0.76,L,0,0.5776,false,70-79,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
162,MLB-20260618-NYM-CIN-PARLAY,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Reds +2.5, total over 6.5, total under 12.5, Mets TT over 2.5",2,Combined Final Total Over 6.5 runs,Over 6.5,0.7,W,1,0.09000000000000002,false,70-79,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
163,MLB-20260618-NYM-CIN-PARLAY,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Reds +2.5, total over 6.5, total under 12.5, Mets TT over 2.5",3,Combined Final Total Under 12.5 runs,Under 12.5,0.66,W,1,0.11559999999999998,false,60-69,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
164,MLB-20260618-NYM-CIN-PARLAY,2026-06-18,Baseball,Baseball,New York Mets @ Cincinnati Reds,MLB regular season,"Reds +2.5, total over 6.5, total under 12.5, Mets TT over 2.5",4,Mets team total Over 2.5 runs,Mets TT Over 2.5,0.63,W,1,0.1369,false,60-69,false,MLB Stats API schedule gamePk 824503; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
165,SOC-20260618-POR-DRC,2026-06-18,Soccer,Soccer,Portugal vs DR Congo,FIFA World Cup 2026 Group K,"Portugal O0.5 team goals, DRC U1.5 team goals, Portugal/draw, full under 4.5",1,Portugal team total Over 0.5 goals,Portugal O0.5 goals,0.82,W,1,0.03240000000000002,false,80-89,false,Guardian live report 2026-06-18; ESPN final score cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
166,SOC-20260618-POR-DRC,2026-06-18,Soccer,Soccer,Portugal vs DR Congo,FIFA World Cup 2026 Group K,"Portugal O0.5 team goals, DRC U1.5 team goals, Portugal/draw, full under 4.5",2,DR Congo team total Under 1.5 goals,DRC U1.5 goals,0.78,W,1,0.04839999999999999,false,70-79,false,Guardian live report 2026-06-18; ESPN final score cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
167,SOC-20260618-POR-DRC,2026-06-18,Soccer,Soccer,Portugal vs DR Congo,FIFA World Cup 2026 Group K,"Portugal O0.5 team goals, DRC U1.5 team goals, Portugal/draw, full under 4.5",3,Portugal or Draw / Portugal double chance,Portugal or draw,0.76,W,1,0.0576,false,70-79,false,Guardian live report 2026-06-18; ESPN final score cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
168,SOC-20260618-POR-DRC,2026-06-18,Soccer,Soccer,Portugal vs DR Congo,FIFA World Cup 2026 Group K,"Portugal O0.5 team goals, DRC U1.5 team goals, Portugal/draw, full under 4.5",4,Combined Final Total Under 4.5 goals,Under 4.5,0.7,W,1,0.09000000000000002,false,70-79,false,Guardian live report 2026-06-18; ESPN final score cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
169,MLB-20260618-TB-LAD,2026-06-18,Baseball,Baseball,Tampa Bay Rays @ Los Angeles Dodgers,MLB regular season,"Dodgers +1.5, full under 9.5, Rays TT under 4.5, Ohtani 4+ K",1,Dodgers +1.5 runs,Dodgers +1.5,0.74,W,1,0.06760000000000001,false,70-79,false,MLB Stats API schedule/game feed gamePk 823940; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
170,MLB-20260618-TB-LAD,2026-06-18,Baseball,Baseball,Tampa Bay Rays @ Los Angeles Dodgers,MLB regular season,"Dodgers +1.5, full under 9.5, Rays TT under 4.5, Ohtani 4+ K",2,Combined Final Total Under 9.5 runs,Under 9.5,0.68,W,1,0.10239999999999996,false,60-69,false,MLB Stats API schedule/game feed gamePk 823940; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
171,MLB-20260618-TB-LAD,2026-06-18,Baseball,Baseball,Tampa Bay Rays @ Los Angeles Dodgers,MLB regular season,"Dodgers +1.5, full under 9.5, Rays TT under 4.5, Ohtani 4+ K",3,Rays team total Under 4.5 runs,Rays TT Under 4.5,0.66,W,1,0.11559999999999998,false,60-69,false,MLB Stats API schedule/game feed gamePk 823940; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
172,MLB-20260618-TB-LAD,2026-06-18,Baseball,Baseball,Tampa Bay Rays @ Los Angeles Dodgers,MLB regular season,"Dodgers +1.5, full under 9.5, Rays TT under 4.5, Ohtani 4+ K",4,Shohei Ohtani 4+ strikeouts,Ohtani 4+ K,0.62,W,1,0.1444,false,60-69,false,MLB Stats API schedule/game feed gamePk 823940; CBS/AP recap 2026-06-18,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
173,CRIC-20260617-ENGW-IREW,2026-06-17,Cricket,Cricket,England Women vs Ireland Women,ICC Women's T20 World Cup Group B,Self-selected four-leg parlay,1,England Women to win,England win,0.83,W,1,0.028900000000000012,false,80-89,false,Cricbuzz scorecard/commentary 2026-06-18; Guardian/Sky cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
174,CRIC-20260617-ENGW-IREW,2026-06-17,Cricket,Cricket,England Women vs Ireland Women,ICC Women's T20 World Cup Group B,Self-selected four-leg parlay,2,Ireland Women team total Under 159.5 runs,Under 159.5,0.74,W,1,0.06760000000000001,false,70-79,false,Cricbuzz scorecard/commentary 2026-06-18; Guardian/Sky cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
175,CRIC-20260617-ENGW-IREW,2026-06-17,Cricket,Cricket,England Women vs Ireland Women,ICC Women's T20 World Cup Group B,Self-selected four-leg parlay,3,England Women to take Over 4.5 wickets / Ireland lose 5+ wickets,Over 4.5 wickets,0.69,W,1,0.09610000000000003,false,60-69,false,Cricbuzz scorecard/commentary 2026-06-18; Guardian/Sky cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
176,CRIC-20260617-ENGW-IREW,2026-06-17,Cricket,Cricket,England Women vs Ireland Women,ICC Women's T20 World Cup Group B,Self-selected four-leg parlay,4,Ireland first 6 overs Under 43.5 runs,Under 43.5,0.61,W,1,0.1521,false,60-69,false,Cricbuzz scorecard/commentary 2026-06-18; Guardian/Sky cross-check,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
177,WNBA-20260618-NYL-CHI-LIVE,2026-06-18,Basketball,Basketball,New York Liberty @ Chicago Sky,WNBA regular season / Commissioner's Cup,Self-selected live ranked outcomes,1,Chicago Sky 80+ team points,80+ team points,0.78,W,1,0.04839999999999999,false,70-79,false,"ESPN WNBA API final summary event 401856997, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
178,WNBA-20260618-NYL-CHI-LIVE,2026-06-18,Basketball,Basketball,New York Liberty @ Chicago Sky,WNBA regular season / Commissioner's Cup,Self-selected live ranked outcomes,2,Breanna Stewart 12+ points,12+ points,0.68,W,1,0.10239999999999996,false,60-69,false,"ESPN WNBA API final summary event 401856997, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
179,WNBA-20260618-NYL-CHI-LIVE,2026-06-18,Basketball,Basketball,New York Liberty @ Chicago Sky,WNBA regular season / Commissioner's Cup,Self-selected live ranked outcomes,3,New York Liberty to win by 10+ points,Liberty by 10+ points,0.22,L,0,0.0484,false,20-29,false,"ESPN WNBA API final summary event 401856997, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
180,WNBA-20260618-NYL-CHI-LIVE,2026-06-18,Basketball,Basketball,New York Liberty @ Chicago Sky,WNBA regular season / Commissioner's Cup,Self-selected live ranked outcomes,4,Chicago Sky to hold New York Liberty under 70 points,New York under 70 team points,0.18,L,0,0.0324,false,10-19,false,"ESPN WNBA API final summary event 401856997, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
181,MLB-20260618-BAL-SEA,2026-06-18,Baseball,Baseball,Baltimore Orioles @ Seattle Mariners,MLB regular season,"User-listed four options: Orioles +4.5, Mariners +0.5, Over 7.5, Under 7.5",1,Orioles +4.5 runs,Orioles +4.5,0.82,W,1,0.03240000000000002,false,80-89,false,"MLB StatsAPI gamePk 823127 final line score, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
182,MLB-20260618-BAL-SEA,2026-06-18,Baseball,Baseball,Baltimore Orioles @ Seattle Mariners,MLB regular season,"User-listed four options: Orioles +4.5, Mariners +0.5, Over 7.5, Under 7.5",2,Mariners +0.5 runs,Mariners +0.5 (win required in normal MLB settlement),0.57,L,0,0.32489999999999997,false,50-59,false,"MLB StatsAPI gamePk 823127 final line score, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
183,MLB-20260618-BAL-SEA,2026-06-18,Baseball,Baseball,Baltimore Orioles @ Seattle Mariners,MLB regular season,"User-listed four options: Orioles +4.5, Mariners +0.5, Over 7.5, Under 7.5",3,Combined Total Over 7.5 runs,Over 7.5 total runs,0.54,W,1,0.21159999999999995,true,50-59,false,"MLB StatsAPI gamePk 823127 final line score, checked 2026-06-18 AEST",false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
