record_id,parent_record_id,forecast_recorded_utc,event_start_utc,sport,competition,event,forecast_state,cutoff_utc,market,selection,line,rank,verdict,potential_winner,model_status,formal_status,result,settled_utc,settlement_source,retrospective,calibration_eligible
V6-015-1,V6-015,2026-07-22T19:40:14Z,2026-07-22T19:40:00Z,Baseball,MLB Regular Season 2026,"Athletics at Arizona Diamondbacks",PREGAME,2026-07-22T19:40:14Z,Match winner,Arizona Diamondbacks,,1,LEAN,Arizona Diamondbacks,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 825055","Arizona won 15-5. The side lean was right; the result does not validate an unpriced or uncalibrated model.",FALSE
V6-015-2,V6-015,2026-07-22T19:40:14Z,2026-07-22T19:40:00Z,Baseball,MLB Regular Season 2026,"Athletics at Arizona Diamondbacks",PREGAME,2026-07-22T19:40:14Z,Full-game total,Over,8.5,2,PASS,Arizona Diamondbacks,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 825055","Final total 20. This was a comparison-only pass, not an active pick.",FALSE
V6-015-3,V6-015,2026-07-22T19:40:14Z,2026-07-22T19:40:00Z,Baseball,MLB Regular Season 2026,"Athletics at Arizona Diamondbacks",PREGAME,2026-07-22T19:40:14Z,Run line,Athletics +1.5,1.5,3,PASS,Arizona Diamondbacks,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 825055","Arizona won by 10. This was a comparison-only pass, not an active pick.",FALSE
V6-015-4,V6-015,2026-07-22T19:40:14Z,2026-07-22T19:40:00Z,Baseball,MLB Regular Season 2026,"Athletics at Arizona Diamondbacks",PREGAME,2026-07-22T19:40:14Z,Full-game total,Under,8.5,4,AVOID,Arizona Diamondbacks,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 825055","Final total 20. The avoided branch lost.",FALSE
V6-016-1,V6-016,2026-07-23T17:38:01Z,2026-07-23T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"London Spirit Men v Manchester Super Giants Men, Match 3",TOSS_PRE_FIRST_BALL,2026-07-23T17:38:01Z,"MSG first innings 100 balls",Under,147.5,1,PASS,"NO WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",WIN,2026-07-28T17:40:00Z,"Cricbuzz completed scorecard + Cricket Australia match report","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. MSG 138/9 from 100 balls is under 147.5. Pair leader (rank 1) and correct. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-016-2,V6-016,2026-07-23T17:38:01Z,2026-07-23T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"London Spirit Men v Manchester Super Giants Men, Match 3",TOSS_PRE_FIRST_BALL,2026-07-23T17:38:01Z,"MSG first innings 100 balls",Over,147.5,2,PASS,"NO WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",LOSS,2026-07-28T17:40:00Z,"Cricbuzz completed scorecard + Cricket Australia match report","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-016-1; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-016-3,V6-016,2026-07-23T17:38:01Z,2026-07-23T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"London Spirit Men v Manchester Super Giants Men, Match 3",TOSS_PRE_FIRST_BALL,2026-07-23T17:38:01Z,"MSG first innings first 25 balls",Under,37.5,3,PASS,"NO WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",WIN,2026-07-28T17:40:00Z,"Cricbuzz completed scorecard + Cricket Australia match report","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. MSG mandatory powerplay (balls 1-25) 26/1 is under 37.5. Pair leader (rank 3) and correct. Phase score newly sourced 2026-07-28. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-016-4,V6-016,2026-07-23T17:38:01Z,2026-07-23T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"London Spirit Men v Manchester Super Giants Men, Match 3",TOSS_PRE_FIRST_BALL,2026-07-23T17:38:01Z,"MSG first innings first 25 balls",Over,37.5,4,PASS,"NO WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",LOSS,2026-07-28T17:40:00Z,"Cricbuzz completed scorecard + Cricket Australia match report","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-016-3; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-017-1,V6-017,2026-07-24T09:50:14Z,2026-07-24T09:30:00Z,Baseball,KBO Regular Season 2026,"KT Wiz at Lotte Giants",LIVE,2026-07-24T09:50:14Z,Match winner,KT Wiz,,1,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",WIN,2026-07-28T17:40:00Z,"Official KBO game centre; MyKBO Stats detail only","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. KT won 5-4. Pair-independent row, correct. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-017-2,V6-017,2026-07-24T09:50:14Z,2026-07-24T09:30:00Z,Baseball,KBO Regular Season 2026,"KT Wiz at Lotte Giants",LIVE,2026-07-24T09:50:14Z,Run line,"Lotte Giants +1.5",1.5,2,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",WIN,2026-07-28T17:40:00Z,"Official KBO game centre; MyKBO Stats detail only","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Lotte lost by one, inside 1.5. Overlaps V6-017-1 under a one-run margin; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-017-3,V6-017,2026-07-24T09:50:14Z,2026-07-24T09:30:00Z,Baseball,KBO Regular Season 2026,"KT Wiz at Lotte Giants",LIVE,2026-07-24T09:50:14Z,Full-game total,Under,9.5,3,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",WIN,2026-07-28T17:40:00Z,"Official KBO game centre; MyKBO Stats detail only","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Nine total runs is under 9.5. Pair leader (rank 3) and correct. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-017-4,V6-017,2026-07-24T09:50:14Z,2026-07-24T09:30:00Z,Baseball,KBO Regular Season 2026,"KT Wiz at Lotte Giants",LIVE,2026-07-24T09:50:14Z,Full-game total,Over,9.5,4,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CONTRACT_UNVERIFIED_AND_RESEARCH_ONLY)",LOSS,2026-07-28T17:40:00Z,"Official KBO game centre; MyKBO Stats detail only","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-017-3; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-018-1,V6-018,2026-07-24T16:54:45Z,2026-07-24T17:00:00Z,Soccer,Club Friendly,"FC Emmen v FC Twente",PREGAME,2026-07-24T16:54:45Z,"90-minute match result",FC Twente,,1,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PREGAME_CONTRACT_AND_LINEUP_UNVERIFIED)",WIN,2026-07-28T17:40:00Z,"Official FC Emmen and FC Twente match reports, opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Twente won 0-3. Correct on direction; the card passed on it, citing the rotation notice. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-018-2,V6-018,2026-07-24T16:54:45Z,2026-07-24T17:00:00Z,Soccer,Club Friendly,"FC Emmen v FC Twente",PREGAME,2026-07-24T16:54:45Z,"90-minute both teams to score",Yes,,2,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PREGAME_CONTRACT_AND_LINEUP_UNVERIFIED)",LOSS,2026-07-28T17:40:00Z,"Official FC Emmen and FC Twente match reports, opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Emmen kept a clean sheet, so BTTS settled No. Genuine directional miss. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-018-3,V6-018,2026-07-24T16:54:45Z,2026-07-24T17:00:00Z,Soccer,Club Friendly,"FC Emmen v FC Twente",PREGAME,2026-07-24T16:54:45Z,"90-minute total goals",Over,2.5,3,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PREGAME_CONTRACT_AND_LINEUP_UNVERIFIED)",WIN,2026-07-28T17:40:00Z,"Official FC Emmen and FC Twente match reports, opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Three goals clears 2.5; a 2.5 line cannot push. Correct on direction. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-018-4,V6-018,2026-07-24T16:54:45Z,2026-07-24T17:00:00Z,Soccer,Club Friendly,"FC Emmen v FC Twente",PREGAME,2026-07-24T16:54:45Z,"Match corners","NO CORNER SELECTION",,4,PASS,"NO FORMAL WINNER PICK",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: CORNER_CONTRACT_AND_LINE_UNAVAILABLE)",UNSETTLEABLE,2026-07-28T17:40:00Z,"Official FC Emmen and FC Twente match reports, opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Genuinely ungradeable: no line was supplied and neither club published a corner count. Not a contract technicality. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-019-1,V6-019,2026-07-24T17:29:45Z,2026-07-24T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"Birmingham Phoenix Men v Trent Rockets Men, Match 4",TOSS_PRE_FIRST_BALL,2026-07-24T17:29:45Z,"Phoenix first innings 100 balls",Under,141.5,1,PASS,"Trent Rockets (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: POINTS_CONTRACT_PRICE_AND_SETTLEMENT_UNVERIFIED)",LOSS,2026-07-28T17:40:00Z,"Cricbuzz match object (state Complete) and ESPNcricinfo full scorecard, both opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Phoenix 214/4 against 141.5. Pair leader (rank 1) and wrong: a bowl-first toss was read as a low-scoring signal. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-019-2,V6-019,2026-07-24T17:29:45Z,2026-07-24T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"Birmingham Phoenix Men v Trent Rockets Men, Match 4",TOSS_PRE_FIRST_BALL,2026-07-24T17:29:45Z,"Phoenix first innings 100 balls",Over,141.5,2,PASS,"Trent Rockets (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: POINTS_CONTRACT_PRICE_AND_SETTLEMENT_UNVERIFIED)",WIN,2026-07-28T17:40:00Z,"Cricbuzz match object (state Complete) and ESPNcricinfo full scorecard, both opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-019-1; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-019-3,V6-019,2026-07-24T17:29:45Z,2026-07-24T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"Birmingham Phoenix Men v Trent Rockets Men, Match 4",TOSS_PRE_FIRST_BALL,2026-07-24T17:29:45Z,"Phoenix first innings first 25 balls",Under,34.5,3,PASS,"Trent Rockets (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: POINTS_CONTRACT_PRICE_AND_SETTLEMENT_UNVERIFIED)",LOSS,2026-07-28T17:40:00Z,"ESPNcricinfo full scorecard phase line: Powerplay 1, balls 1-25 = 54 runs, 0 wicket; opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Phoenix powerplay 54/0 against 34.5. Pair leader (rank 3) and wrong. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-019-4,V6-019,2026-07-24T17:29:45Z,2026-07-24T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"Birmingham Phoenix Men v Trent Rockets Men, Match 4",TOSS_PRE_FIRST_BALL,2026-07-24T17:29:45Z,"Phoenix first innings first 25 balls",Over,34.5,4,PASS,"Trent Rockets (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: POINTS_CONTRACT_PRICE_AND_SETTLEMENT_UNVERIFIED)",WIN,2026-07-28T17:40:00Z,"ESPNcricinfo full scorecard phase line: Powerplay 1, balls 1-25 = 54 runs, 0 wicket; opened 2026-07-28","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-019-3; not independent evidence. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-020-1,V6-020,2026-07-25T00:14:12Z,2026-07-25T00:15:00Z,Baseball,MLB Regular Season 2026,"Cincinnati Reds at St. Louis Cardinals",WARMUP_PRE_FIRST_PITCH,2026-07-25T00:14:12Z,"Full-game total",Over,8.0,1,LEAN,"St. Louis Cardinals (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PRICE_AND_SETTLEMENT_UNVERIFIED_REFERENCE_ONLY)",LOSS,2026-07-28T17:40:00Z,"Official MLB linescore and boxscore, game 823031, opened 2026-07-28T17:01Z","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Six total runs against Over 8.0; no push. The only non-PASS row in the sweep and the most important countable error: identical market, line and thesis to V6-010 five days earlier, and both starters threw quality. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-020-2,V6-020,2026-07-25T00:14:12Z,2026-07-25T00:15:00Z,Baseball,MLB Regular Season 2026,"Cincinnati Reds at St. Louis Cardinals",WARMUP_PRE_FIRST_PITCH,2026-07-25T00:14:12Z,"Full-game moneyline","St. Louis Cardinals",,2,PASS,"St. Louis Cardinals (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PRICE_AND_SETTLEMENT_UNVERIFIED_REFERENCE_ONLY)",LOSS,2026-07-28T17:40:00Z,"Official MLB linescore and boxscore, game 823031, opened 2026-07-28T17:01Z","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Cincinnati won 4-2. Home field, record and season pitching line all pointed the wrong way; a blown save decided it. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-020-3,V6-020,2026-07-25T00:14:12Z,2026-07-25T00:15:00Z,Baseball,MLB Regular Season 2026,"Cincinnati Reds at St. Louis Cardinals",WARMUP_PRE_FIRST_PITCH,2026-07-25T00:14:12Z,"Full-game run line","Cincinnati Reds +1.5",1.5,3,PASS,"St. Louis Cardinals (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PRICE_AND_SETTLEMENT_UNVERIFIED_REFERENCE_ONLY)",WIN,2026-07-28T17:40:00Z,"Official MLB linescore and boxscore, game 823031, opened 2026-07-28T17:01Z","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Cincinnati won outright, so +1.5 landed with the cushion unused. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-020-4,V6-020,2026-07-25T00:14:12Z,2026-07-25T00:15:00Z,Baseball,MLB Regular Season 2026,"Cincinnati Reds at St. Louis Cardinals",WARMUP_PRE_FIRST_PITCH,2026-07-25T00:14:12Z,"Full-game total",Under,8.0,4,AVOID,"St. Louis Cardinals (INFORMATIONAL ONLY)",QUALITATIVE,"RAW_GRADED_STANDARD_RULES_NO_PRICE (orig: PRICE_AND_SETTLEMENT_UNVERIFIED_REFERENCE_ONLY)",WIN,2026-07-28T17:40:00Z,"Official MLB linescore and boxscore, game 823031, opened 2026-07-28T17:01Z","RE-GRADED 2026-07-28 under the price-independence directive (doc s1A), on the verified outcome under stated standard rules; no price or payout involved. Mechanical complement of V6-020-1; not independent evidence. An 8.0 line would have pushed at exactly eight runs; the game finished on six. ABSTENTION: this row was a PASS/LEAN/AVOID, not a selection - the grade measures directional and ranking accuracy only and is not a betting record.",FALSE
V6-021-1,V6-021,2026-07-28T17:29:33Z,2026-07-28T17:30:00Z,Cricket,"The Hundred Men's Competition 2026","Sunrisers Leeds Men v Manchester Super Giants Men, 10th Match",TOSS_PRE_FIRST_BALL,2026-07-28T17:26:00Z,"MSG first innings 100 balls",Over,161.5,1,LEAN,"Manchester Super Giants (LEAN, event evidence only, no price used) - WRONG, Sunrisers Leeds won by 8 wickets",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_PRICE_NOT_REQUIRED",WIN,2026-07-29T10:40:00Z,"ESPNcricinfo full scorecard 10th Match 1521240 and the men's series match-results page, both opened 2026-07-29T10:32Z via the validated text proxy; the two sources agree on both totals and the result string","SETTLED 2026-07-29. MSG made 181/3 from 100 balls, so Over 161.5 WON. The card's stated mechanism held: MSG's 138 was made at Lord's (2nd-lowest venue) and this innings was at Headingley (2nd-highest) with an identical XI. First prospective application of the venue-baseline control adopted after V6-016/V6-019. ABSTENTION-ADJACENT: this row was a LEAN, not a selection - the grade measures directional and ranking accuracy only and is not a betting record, hit rate or ROI. No price was used.",FALSE
V6-021-2,V6-021,2026-07-28T17:29:33Z,2026-07-28T17:30:00Z,Cricket,"The Hundred Men's Competition 2026","Sunrisers Leeds Men v Manchester Super Giants Men, 10th Match",TOSS_PRE_FIRST_BALL,2026-07-28T17:26:00Z,"MSG first innings 100 balls",Under,161.5,2,PASS,"Manchester Super Giants (LEAN, event evidence only, no price used) - WRONG, Sunrisers Leeds won by 8 wickets",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_PRICE_NOT_REQUIRED",LOSS,2026-07-29T10:40:00Z,"ESPNcricinfo full scorecard 10th Match 1521240 and the men's series match-results page, both opened 2026-07-29T10:32Z via the validated text proxy; the two sources agree on both totals and the result string","SETTLED 2026-07-29. MSG 181/3; Under 161.5 LOST. Mechanical complement of V6-021-1 and NOT independent evidence - counting both rows would manufacture a meaningless 50 percent. This was a PASS, not a selection.",FALSE
V6-021-3,V6-021,2026-07-28T17:29:33Z,2026-07-28T17:30:00Z,Cricket,"The Hundred Men's Competition 2026","Sunrisers Leeds Men v Manchester Super Giants Men, 10th Match",TOSS_PRE_FIRST_BALL,2026-07-28T17:26:00Z,"MSG first innings first 25 balls",Under,39.5,3,PASS,"Manchester Super Giants (LEAN, event evidence only, no price used) - WRONG, Sunrisers Leeds won by 8 wickets",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_UNORDERED_PAIR",LOSS,2026-07-29T10:40:00Z,"ESPNcricinfo full scorecard 10th Match 1521240 and the men's series match-results page, both opened 2026-07-29T10:32Z via the validated text proxy; the two sources agree on both totals and the result string","SETTLED 2026-07-29. MSG Powerplay 1 (balls 1-25) was 41/1 from the scorecard's own phase line, so Under 39.5 LOST by 1.5 runs. The pair was correctly logged UNORDERED; the venue argument (Headingley 45/0 and 48/0) beat the team argument (MSG own PP mean 32.5). MARGIN 1.5 RUNS - a near-coinflip outcome that must not be read as vindication of the venue factor. This was a PASS, not a selection.",FALSE
V6-021-4,V6-021,2026-07-28T17:29:33Z,2026-07-28T17:30:00Z,Cricket,"The Hundred Men's Competition 2026","Sunrisers Leeds Men v Manchester Super Giants Men, 10th Match",TOSS_PRE_FIRST_BALL,2026-07-28T17:26:00Z,"MSG first innings first 25 balls",Over,39.5,3,PASS,"Manchester Super Giants (LEAN, event evidence only, no price used) - WRONG, Sunrisers Leeds won by 8 wickets",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_UNORDERED_PAIR",WIN,2026-07-29T10:40:00Z,"ESPNcricinfo full scorecard 10th Match 1521240 and the men's series match-results page, both opened 2026-07-29T10:32Z via the validated text proxy; the two sources agree on both totals and the result string","SETTLED 2026-07-29. MSG PP1 41/1; Over 39.5 WON by 1.5 runs. Mechanical complement of V6-021-3 and NOT independent evidence. Both this and the rank-1 win rest on the SAME venue adjustment applied to positively correlated markets - one observation with two readings, not two confirmations. This was a PASS, not a selection.",FALSE
V6-022-1,V6-022,2026-07-29T10:44:00Z,2026-07-29T10:30:00Z,Cricket,"The Hundred Women's Competition 2026","Welsh Fire Women v Trent Rockets Women, 11th Match",TOSS_PRE_FIRST_BALL,2026-07-29T10:28:00Z,"Welsh Fire Women first innings 100 balls",Over,133.5,1,LEAN,"Trent Rockets Women (LEAN, event evidence only, no price used)",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_PRICE_NOT_REQUIRED",PENDING,,"Cricbuzz match 145132 (Toss state, toss result, venue, start time); official squad feed 145132 (both playing XIs); ESPNcricinfo women's schedule and results page series 1521193 (all nine completed innings totals and the abandonment); ESPNcricinfo scorecards for the 2nd, 4th, 6th and 8th Matches (powerplay phase lines and extras); Open-Meteo forecast API for Sophia Gardens - all opened 2026-07-29 between 10:28Z and 10:40Z","LEAN. Competition-wide base rate OPPOSES this line (women's 2026 first-innings mean 120.0, median 126; only 3 of 9 exceeded 133.5) and is deliberately overridden with venue- and matchup-specific evidence per the V6-016/V6-019 control. (a) Welsh Fire's only first innings this season is 177/4 AT THIS GROUND with the same batting card named today. (b) Trent Rockets' one bowling performance against competent batting leaked 146 in 97 balls to London Spirit, and that figure was CAPPED by the target, so the uncapped rate is higher; their 64-all-out was against Birmingham Phoenix, the weakest batting unit. (c) Dry, warm, 0 percent rain across the whole window. Bowl-first toss NOT used as under evidence per V6-019. LIMITS: venue sample is one women's match and Cardiff leads Headingley and Nottingham by only 5-6 match runs; Sciver-Brunt, Gardner, Garth and Bates are the strongest attack Welsh Fire have faced; no pitch report obtained.",FALSE
V6-022-2,V6-022,2026-07-29T10:44:00Z,2026-07-29T10:30:00Z,Cricket,"The Hundred Women's Competition 2026","Welsh Fire Women v Trent Rockets Women, 11th Match",TOSS_PRE_FIRST_BALL,2026-07-29T10:28:00Z,"Welsh Fire Women first innings first 25 balls",Over,31.5,2,LEAN,"Trent Rockets Women (LEAN, event evidence only, no price used)",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_PRICE_NOT_REQUIRED",PENDING,,"Cricbuzz match 145132 (Toss state, toss result, venue, start time); official squad feed 145132 (both playing XIs); ESPNcricinfo women's schedule and results page series 1521193 (all nine completed innings totals and the abandonment); ESPNcricinfo scorecards for the 2nd, 4th, 6th and 8th Matches (powerplay phase lines and extras); Open-Meteo forecast API for Sophia Gardens - all opened 2026-07-29 between 10:28Z and 10:40Z","LEAN, ranked below row 1 because the margin is only about two runs. Line sits 2 below the competition powerplay median of 33.5 and 3 below Welsh Fire's own PP mean of 34.5 (38/0 at Cardiff, 31/1 at Southampton); 5 of 8 verified powerplays this season exceeded 31.5. Fielding restrictions plus a Voll/McCaughan/Kemp/Devine top order make an early collapse, not slow scoring, the main failure path. LIMITS: Rockets' PP concession mean is 24.0 and Kim Garth's new-ball line is 2/5 from 15 balls; 3 of 8 powerplays saw two wickets fall; my PP sample is 8 observations from 4 of 10 completed matches, not the full set.",FALSE
V6-022-3,V6-022,2026-07-29T10:44:00Z,2026-07-29T10:30:00Z,Cricket,"The Hundred Women's Competition 2026","Welsh Fire Women v Trent Rockets Women, 11th Match",TOSS_PRE_FIRST_BALL,2026-07-29T10:28:00Z,"Welsh Fire Women first innings first 25 balls",Under,31.5,3,PASS,"Trent Rockets Women (LEAN, event evidence only, no price used)",QUALITATIVE,"RUNS_METRIC_STATED_NO_PRICE_USED_PRICE_NOT_REQUIRED",PENDING,,"Cricbuzz match 145132 (Toss state, toss result, venue, start time); official squad feed 145132 (both playing XIs); ESPNcricinfo women's schedule and results page series 1521193 (all nine completed innings totals and the abandonment); ESPNcricinfo scorecards for the 2nd, 4th, 6th and 8th Matches (powerplay phase lines and extras); Open-Meteo forecast API for Sophia Gardens - all opened 2026-07-29 between 10:28Z and 10:40Z","PASS and mechanical complement of row 2; NOT independent evidence. Genuinely live: Rockets conceded 14/4 and 34/0 in their two powerplays, Garth is the best new-ball bowler on the field, and 3 of 8 powerplays this season went below 31.5. Deliberately NOT labelled AVOID.",FALSE
